strategy_str,Left,Right
answer_0(top) → answer_1(left) → answer_2(right) → answer_3(bottom),2,6
answer_0(top) → answer_1(left) → answer_3(bottom) → answer_2(right),19,29
answer_0(top) → answer_2(right) → answer_1(left) → answer_3(bottom),1,1
answer_0(top) → answer_2(right) → answer_3(bottom) → answer_1(left),42,74
answer_1(left) → answer_0(top) → answer_2(right) → answer_3(bottom),3,2
answer_3(bottom) → answer_0(top) → answer_1(left) → answer_3(bottom),0,1
