strategy_str,n_participants
answer_0(top) → answer_2(right) → answer_3(bottom) → answer_1(left),42
answer_0(top) → answer_1(left) → answer_3(bottom) → answer_2(right),19
answer_1(left) → answer_0(top) → answer_2(right) → answer_3(bottom),3
answer_0(top) → answer_1(left) → answer_2(right) → answer_3(bottom),2
answer_0(top) → answer_2(right) → answer_1(left) → answer_3(bottom),1
